English,Japan
I love programming in Python because it allows me to create amazing applications.,私は Python でのプログラミングが大好きです。Python を使用すると素晴らしいアプリケーションを作成できるからです。
"The weather is beautiful today, and I'm planning to go for a long walk in the park.",今日は天気が良いので、公園に長い散歩に行く予定です。
I enjoy reading books in my free time as it helps me relax and expand my knowledge.,リラックスして知識を広げることができるので、自由時間に本を読むのが好きです。
She sings beautifully and captivates the audience with her mesmerizing voice.,彼女は美しく歌い、その魅惑的な声で聴衆を魅了します。
"The cat is sleeping on the mat, completely unaware of its surroundings.",猫はマットの上で寝ていて、周囲のことをまったく知りません。
I want to travel the world and explore different cultures and traditions.,私は世界中を旅して、さまざまな文化や伝統を探求したいと思っています。
He plays the guitar very well and mesmerizes everyone with his musical talent.,彼はギターがとても上手で、その音楽的才能でみんなを魅了します。
"The movie was exciting and suspenseful, keeping me on the edge of my seat throughout.",その映画はエキサイティングかつサスペンスフルで、私は終始ハラハラしたままでした。
"We had a delicious dinner last night, filled with laughter and joy.",昨夜は笑いと喜びに満ちた美味しい夕食を食べました。
I believe in working hard and pursuing my dreams with unwavering determination.,私は、揺るぎない決意を持って一生懸命働き、自分の夢を追い求めることができると信じています。
The beach is my favorite place to relax and soak up the sun.,ビーチはリラックスして日光浴をするのに私のお気に入りの場所です。
I enjoy spending time with my family and creating beautiful memories together.,家族と一緒に時間を過ごし、一緒に美しい思い出を作るのが楽しいです。
Learning new things is a continuous process that helps me grow as an individual.,新しいことを学ぶことは、私が個人として成長するのに役立つ継続的なプロセスです。
The city skyline at night is a breathtaking sight that never fails to amaze me.,夜の街のスカイラインは息を呑むような光景で、いつも驚かされます。
"She is an accomplished artist, creating stunning paintings that evoke strong emotions.",彼女は熟練した芸術家であり、強い感情を呼び起こす見事な絵画を作成しています。
"The mountain peak was covered in a blanket of fresh snow, creating a picturesque view.",山頂は新雪に覆われ、美しい景色を作り出していました。
I'm grateful for the support and encouragement I receive from my loved ones.,愛する人たちから受けたサポートと励ましに感謝しています。
The book I'm currently reading is thought-provoking and offers valuable insights.,私が今読んでいる本は示唆に富むもので、貴重な洞察を与えてくれます。
Exploring nature and hiking through scenic trails brings me a sense of peace and serenity.,自然を探索したり、美しい小道をハイキングしたりすると、平和と静けさの感覚が得られます。
I'm passionate about helping others and making a positive impact on their lives.,私は他の人を助け、彼らの生活にポジティブな影響を与えることに情熱を持っています。
The vibrant colors of the sunset painted the sky in hues of orange and pink.,鮮やかな夕日が空をオレンジとピンクに染め上げました。
I'm excited about the opportunities that lie ahead and the potential for growth.,私はこれから待ち受ける機会と成長の可能性に興奮しています。
The sound of waves crashing against the shore is both calming and invigorating.,海岸に打ち寄せる波の音は、心を落ち着かせると同時に元気を与えてくれます。
I find solace in writing and expressing my thoughts and emotions through words.,私は自分の考えや感情を言葉で書いたり表現したりすることに慰めを感じます。
The laughter of children playing is music to my ears and warms my heart.,子どもたちの遊ぶ笑い声が耳に音楽となって、心が温かくなります。
"I strive to live a balanced life, focusing on my physical, mental, and emotional well-being.",私は身体的、精神的、感情的な健康に重点を置き、バランスの取れた生活を送るよう努めています。
The smell of freshly brewed coffee is enough to awaken my senses and start my day.,淹れたてのコーヒーの香りは、私の感覚を目覚めさせ、一日を始めるのに十分です。
I'm determined to overcome challenges and turn them into opportunities for personal growth.,困難を乗り越えて成長の機会に変えていきたいと思っています。
"The city is bustling with activity, with people from different backgrounds and cultures.",街はさまざまな背景や文化を持つ人々が集まり、活気にあふれています。
"I appreciate the simple pleasures in life, like a warm cup of tea on a rainy day.",雨の日の温かいお茶のような、人生のささやかな楽しみを大切にしています。
Spending time in nature rejuvenates my spirit and reminds me of the beauty all around us.,自然の中で時間を過ごすと精神が若返り、周囲の美しさを思い出します。
I'm inspired by individuals who follow their passion and make a difference in the world.,私は、自分の情熱に従って世界に変化をもたらす人々からインスピレーションを受けています。
The starry night sky fills me with wonder and reminds me of the vastness of the universe.,星空は不思議な気持ちにさせられ、宇宙の広さを思い出させます。
"I value kindness and strive to treat others with empathy, compassion, and respect.",私は優しさを大切にし、共感、同情、敬意を持って他人に接するように努めます。
"The aroma of freshly baked cookies wafts through the air, creating a sense of comfort.",焼きたてのクッキーの香りが漂い、心地よい気分にさせてくれます。
"I'm constantly learning and growing, embracing new experiences and seeking knowledge.",私は常に学び、成長し、新しい経験を受け入れ、知識を求めています。
The sound of raindrops falling on the roof is soothing and creates a cozy atmosphere.,屋根に落ちる雨音も心地よく、心地よい雰囲気を醸し出します。
I'm grateful for the opportunities that come my way and the lessons I learn from them.,巡って来る機会と、そこから学べる教訓に感謝しています。
The art of storytelling has the power to transport us to different worlds and ignite our imagination.,ストーリーテリングの芸術には、私たちをさまざまな世界に連れて行き、想像力を刺激する力があります。
I believe in the power of positive thinking and its ability to shape our reality.,私はポジティブ思考の力と、それが現実を形作る力を信じています。
The chirping of birds in the morning is a gentle reminder of the beauty of nature.,朝の鳥のさえずりが、自然の美しさを優しく思い出させてくれます。
I'm motivated by the desire to make a meaningful contribution to the lives of others.,私は、他の人の人生に有意義な貢献をしたいという願望によって動機付けられています。
The smell of fresh grass reminds me of carefree summer days spent outdoors.,新鮮な草の香りは、屋外で過ごした気楽な夏の日々を思い出させます。
I strive to maintain a healthy work-life balance and prioritize self-care.,私は健康的なワークライフバランスを維持し、セルフケアを優先するよう努めています。
The sound of laughter is contagious and brings joy to those around us.,笑い声は伝染し、周りの人に喜びをもたらします。
I'm inspired by individuals who overcome adversity and never lose sight of their dreams.,逆境を乗り越え、決して夢を見失わない人たちに私はインスピレーションを受けます。
The changing seasons remind me of the impermanence of life and the importance of embracing each moment.,季節の移り変わりは、人生の無常と一瞬一瞬を大切にすることの大切さを思い出させます。
I find joy in simple pleasures like watching a sunrise or savoring a delicious meal.,私は日の出を見たり、おいしい食事を味わったりするような単純な楽しみに喜びを感じます。
I'm committed to personal growth and constantly challenging myself to reach new heights.,私は個人の成長に尽力し、常に新たな高みに到達するために自分自身に挑戦しています。
The sound of waves crashing against the shore is a symphony that soothes my soul.,海岸に打ち寄せる波の音は、私の心を落ち着かせる交響曲です。
I believe in the power of gratitude and regularly express appreciation for the blessings in my life.,私は感謝の力を信じており、人生の祝福に対して定期的に感謝の意を表します。
The company of loved ones brings warmth and happiness to my heart.,愛する人たちと一緒にいると、心に温かさと幸福がもたらされます。
I'm passionate about making a positive impact in the world and leaving a lasting legacy.,私は世界にポジティブな影響を与え、永続的な遺産を残すことに情熱を持っています。
The gentle breeze on a summer evening carries with it a sense of tranquility.,夏の夜のそよ風は、静けさをもたらします。
I'm inspired by individuals who follow their dreams and never give up on what they believe in.,私は自分の夢を追い、自分が信じるものを決して諦めない人たちにインスピレーションを受けます。
The taste of a home-cooked meal brings back fond memories of family gatherings and togetherness.,家庭料理の味は、家族の集まりや団欒の懐かしい思い出を思い出させます。
I'm dedicated to lifelong learning and constantly seeking opportunities for personal and professional development.,私は生涯学習に専念し、個人的および専門的な能力開発の機会を常に探しています。
The sound of birds chirping in the morning fills me with a sense of optimism and hope.,朝、鳥のさえずりを聞くと、楽観的な気持ちと希望が湧いてきます。
I find peace in solitude and enjoy moments of quiet reflection.,私は孤独の中に平安を見出し、静かに熟考する時間を楽しんでいます。
I'm motivated by the desire to make a positive impact on the lives of others and create meaningful change.,私は、他の人の生活にポジティブな影響を与え、有意義な変化を生み出したいという願望によって動機づけられています。
The smell of fresh flowers is invigorating and adds a touch of beauty to any space.,新鮮な花の香りは爽やかで、どんな空間にも美しさを加えます。
I'm grateful for the support and love of my family and friends.,家族や友人のサポートと愛に感謝しています。
The beauty of a sunset reminds me of the fleeting nature of time and the importance of cherishing every moment.,夕日の美しさは、時間の儚さと一瞬一瞬を大切にすることの大切さを思い出させてくれます。
I'm inspired by individuals who use their voices to stand up for what they believe in.,私は、自分の信念を主張するために自分の声を使う人々からインスピレーションを受けます。
The sound of rain tapping against the window is a lullaby that helps me drift into peaceful sleep.,窓を叩く雨の音は、私を安らかな眠りに導く子守唄です。
I'm dedicated to living a purposeful life and making a difference in the world.,私は目的のある人生を送り、世界に変化をもたらすことに専念しています。
The sight of a rainbow after a storm serves as a reminder of hope and resilience.,嵐の後の虹の光景は、希望と立ち直る力を思い出させます。
I find joy in simple acts of kindness and strive to spread positivity wherever I go.,私は単純な親切な行為に喜びを感じ、どこへ行ってもポジティブな気持ちを広めるように努めています。
I'm motivated by the opportunity to learn and grow each day.,私は日々学び、成長する機会に刺激を受けています。
The company of good friends brings laughter and creates lasting memories.,仲の良い友達と一緒にいると笑いが生まれ、忘れられない思い出が生まれます。
I'm grateful for the beauty of nature and the sense of peace it brings.,自然の美しさとそれがもたらす平和な感覚に感謝しています。
The feeling of accomplishment after completing a challenging task is incredibly rewarding.,難しい仕事をやり遂げた後の達成感は、とてもやりがいのあるものです。
I'm inspired by individuals who embrace their authenticity and encourage others to do the same.,私は、自分の真正性を受け入れ、他の人にも同じようにするよう奨励する個人にインスピレーションを受けます。
The sound of waves crashing on the shore is a reminder of the vastness and power of the ocean.,海岸に打ち寄せる波の音は、海の広大さと力強さを思い出させます。
I'm dedicated to living a balanced life and nurturing all aspects of my well-being.,私はバランスの取れた生活を送り、健康のあらゆる面を養うことに専念しています。
The scent of freshly baked bread evokes a sense of warmth and comfort.,焼きたてのパンの香りは、温かみと安らぎを感じさせます。
I'm motivated by the belief that every challenge presents an opportunity for growth.,あらゆる挑戦は成長の機会であるという信念が私の原動力です。
The laughter of children playing in the park fills the air with joy and happiness.,公園で遊ぶ子供たちの笑い声は、空気を喜びと幸せで満たします。
I'm inspired by individuals who overcome adversity with grace and resilience.,私は逆境を優雅さと立ち直りで乗り越える人々にインスピレーションを受けます。
The sight of blooming flowers signals the arrival of spring and the renewal of life.,花が咲く姿は、春の到来と生命の再生を告げます。
I find solace in the beauty of nature and the serenity it brings.,私は自然の美しさとそれがもたらす静けさに慰めを感じます。
The sound of rain is soothing and brings a sense of calm.,雨の音は心地よく、心を落ち着かせてくれます。
I find inspiration in nature's beauty and its intricate designs.,私は自然の美しさとその複雑なデザインにインスピレーションを見出します。
I believe in the power of love to create positive change in the world.,私は世界に前向きな変化を生み出す愛の力を信じています。
The smell of freshly baked bread reminds me of home and the warmth of family.,焼きたてのパンの香りは、故郷や家族の温もりを思い出させます。
I'm motivated by the desire to make a difference and leave a lasting impact.,私は変化をもたらし、永続的な影響を残したいという願望によって動機付けられています。
The sound of birds singing in the morning fills me with a sense of renewal.,朝、鳥の鳴き声を聞くと、気分がリフレッシュされます。
I find joy in small acts of kindness that brighten someone else's day.,私は、誰かの一日を明るくするような小さな親切な行為に喜びを感じます。
I'm grateful for the opportunity to learn and grow through life's challenges.,人生の課題を通じて学び、成長する機会を与えていただいたことに感謝しています。
The feeling of sand between my toes brings a sense of freedom and relaxation.,足の指の間の砂の感覚は、解放感とリラックス感をもたらします。
I believe in the inherent goodness of people and their capacity for compassion.,私は人々が本来持っている善良さと思いやりの能力を信じています。
The sight of a full moon illuminating the night sky is both magical and serene.,夜空を照らす満月の光景は、幻想的でありながら穏やかです。
I'm inspired by individuals who show resilience in the face of adversity.,私は逆境に直面しても立ち直る力を示す人たちからインスピレーションを受けます。
"The taste of a juicy, ripe fruit is a delight for the senses.",ジューシーで熟した果実の味わいは五感を喜ばせます。
I find peace in meditation and connecting with my inner self.,私は瞑想し、自分の内なる自己とつながることで平安を見出します。
I'm motivated by the desire to make a positive impact on future generations.,私は将来の世代にポジティブな影響を与えたいという願望に動機付けられています。
The sound of leaves rustling in the wind is nature's gentle lullaby.,風にそよぐ木の葉の音は、自然の優しい子守唄です。
I believe in the power of forgiveness to heal and bring inner peace.,私は心の癒しと平安をもたらす許しの力を信じています。
The sight of a field of flowers in bloom fills my heart with joy.,一面に咲き誇る花畑を見ると、心が幸せな気持ちになります。
I find solace in the silence of early mornings and the stillness of nature.,早朝の静けさと自然の静けさに慰めを感じます。
I'm grateful for the lessons learned from both success and failure.,成功と失敗の両方から学んだ教訓に感謝しています。
The feeling of accomplishment after reaching a goal is immensely satisfying.,目標を達成した後の達成感はとても充実しています。
I'm inspired by acts of courage and the willingness to stand up for what's right.,私は勇気ある行動と、正しいことのために立ち上がる意欲にインスピレーションを受けています。
The smell of rain after a long dry spell is refreshing and invigorating.,長い乾燥期間の後の雨の香りはさわやかで爽快です。
I believe in the power of unity and working together for a common purpose.,私は団結の力と共通の目的のために協力する力を信じています。
The taste of homemade chocolate chip cookies brings back childhood memories.,手作りのチョコチップクッキーの味は、子供の頃の思い出を思い出させます。
I find joy in simple moments of laughter and shared experiences with loved ones.,私は、単純な笑いの瞬間や、愛する人たちと経験を共有することに喜びを感じます。
I'm motivated by the belief that every person has the ability to make a positive impact.,私は、誰もがポジティブな影響を与える能力を持っているという信念に動機づけられています。
The sight of a clear night sky filled with stars sparks a sense of wonder.,澄んだ夜空に満天の星空を見ると、不思議な気持ちになります。
I'm grateful for the beauty of diversity and the richness it brings to our world.,多様性の美しさとそれが私たちの世界にもたらす豊かさに感謝しています。
The feeling of sand between my fingers reminds me of the vastness of the world.,指の間の砂の感触が世界の広さを思い出させます。
I find inspiration in the stories of ordinary people doing extraordinary things.,私は普通の人々が特別なことをしている話からインスピレーションを得ます。
I'm inspired by the resilience of nature and its ability to adapt and thrive.,私は自然の回復力と、適応して繁栄する能力にインスピレーションを受けています。
The sound of waves crashing against the shore is a constant reminder of change.,海岸に打ち寄せる波の音は常に変化を思い出させます。
I'm motivated by the desire to leave a legacy of kindness and compassion.,私は優しさと思いやりの遺産を残したいという願望に動機付けられています。
The taste of homemade soup warms both the body and the soul.,自家製スープの味わいは身も心も温まります。
I find solace in the sound of raindrops tapping against the window.,雨粒が窓を叩く音に慰めを感じます。
I believe in the power of empathy to bridge divides and foster understanding.,私は共感の力が溝を埋め、理解を促進すると信じています。
The sight of a rainbow after a storm represents hope and new beginnings.,嵐の後に現れる虹の光景は、希望と新たな始まりを表しています。
I'm grateful for the moments of stillness and reflection that bring clarity.,明晰さをもたらしてくれる静寂と熟考の瞬間に感謝しています。
The feeling of cool grass beneath my feet connects me to the earth's energy.,足元のひんやりとした草の感触が私を地球のエネルギーと結びつけます。
I find inspiration in the resilience and strength of those who have faced adversity.,私は逆境に直面した人々の回復力と強さにインスピレーションを感じます。
I'm inspired by acts of generosity and the willingness to help others in need.,私は寛大な行為と、困っている人を助ける意欲にインスピレーションを受けています。
The sound of laughter is contagious and brings lightness to any situation.,笑い声は伝染し、どんな状況にも明るさをもたらします。
I'm motivated by the belief that every person has a unique gift to share with the world.,私は、誰もが世界と共有できるユニークな才能を持っているという信念に動機づけられています。
The taste of freshly squeezed orange juice is a burst of sunshine on my tongue.,絞りたてのオレンジジュースの味は、私の舌の上で太陽の光が弾けるような感じです。
I find joy in the simple act of giving and making a positive impact on someone's life.,私は誰かの人生に何かを与え、ポジティブな影響を与えるという単純な行為に喜びを感じます。
I'm grateful for the lessons learned from difficult experiences that have shaped me.,私を形成してくれた困難な経験から学んだ教訓に感謝しています。
The feeling of a warm embrace brings comfort and a sense of belonging.,温かい抱擁の感覚は、安らぎと帰属意識をもたらします。
I believe in the power of perseverance and the ability to overcome obstacles.,私は忍耐力と障害を克服する能力を信じています。
The sight of a butterfly emerging from its cocoon is a symbol of transformation.,蝶が繭から出てくる姿は変革の象徴です。
I'm inspired by acts of kindness that restore faith in humanity.,私は人類への信頼を取り戻す親切な行為にインスピレーションを受けています。
The sound of birds chirping in the morning brings a sense of hope and new beginnings.,朝の鳥のさえずりは希望と新たな始まりの感覚をもたらします。
I'm motivated by the belief that every person has the potential for greatness.,私はすべての人が偉大になる可能性を持っているという信念によって動機づけられています。
The taste of a perfectly ripe mango is a burst of sweetness and tropical delight.,完熟マンゴーの味わいは、はじけるような甘みとトロピカルな味わいです。
I find solace in the beauty of a sunset and the promise of a new day.,私は夕日の美しさと新しい一日の約束に慰めを感じます。
I'm inspired by individuals who follow their passions and live life on their own terms.,私は、自分の情熱に従い、自分のやり方で人生を生きる人たちにインスピレーションを受けます。
The sight of a baby's smile is a reminder of the purest form of joy.,赤ちゃんの笑顔を見ると、最も純粋な喜びを思い出させます。
I'm grateful for the love and support of my family and friends.,家族や友人の愛とサポートに感謝しています。
The feeling of a warm summer breeze on my skin brings a sense of freedom.,暖かい夏の風を肌に感じると、解放感が生まれます。
"I believe in the power of self-care and nurturing my mind, body, and soul.",私はセルフケアの力、心、体、魂を育てる力を信じています。
The sound of a waterfall cascading down rocks is both calming and invigorating.,岩を流れ落ちる滝の音は心を落ち着かせ、元気を与えてくれます。
I'm motivated by the desire to make a positive impact on the lives of others.,私は他の人の人生にポジティブな影響を与えたいという願望によって動機付けられています。
The taste of homemade ice cream is a sweet indulgence that brings happiness.,自家製アイスクリームの味は幸せをもたらす甘い贅沢です。
I find joy in the beauty of nature and the intricate details of the world around me.,私は自然の美しさと周囲の世界の複雑な細部に喜びを感じます。
I'm grateful for the opportunities that life presents and the lessons learned along the way.,人生が与えてくれる機会と、その過程で学んだ教訓に感謝しています。
The feeling of sand slipping through my fingers reminds me of the transient nature of time.,砂が指の間を滑り落ちる感触は、時間の儚さを思い出させます。
I'm inspired by the courage of those who speak up for justice and equality.,私は正義と平等のために声を上げる人々の勇気に触発されています。
The sight of a hummingbird hovering in mid-air is a reminder of the wonders of nature.,空中にホバリングするハチドリの姿は、自然の驚異を思い起こさせます。
I'm motivated by the belief that small actions can create significant positive change.,私は、小さな行動が大きな前向きな変化を生み出すことができるという信念によって動機づけられています。
The taste of freshly brewed coffee is a comforting ritual that starts my day on a positive note.,淹れたてのコーヒーの味は、一日を前向きに始める心地よい儀式です。
I find solace in the sound of rain gently tapping against the windowpane.,窓ガラスを優しく叩く雨の音に安らぎを感じます。
I believe in the power of compassion to heal wounds and bring understanding.,私は、傷を癒し、理解をもたらす思いやりの力を信じています。
The sight of a starry night sky fills me with a sense of awe and wonder.,星空を眺めると、畏怖の念と不思議な気持ちでいっぱいになります。
Believe it!,信じてください！
I'll take a potato chip... and eat it!,ポテトチップを持ってきて食べます！
I won't run away anymore... I won't go back on my word... that is my ninja way!,もう逃げない…約束は戻らない…それが私の忍道だ！
I am the bone of my sword,私は剣の骨です
I'm not a hero. I'm a high school student who likes girls and games.,私は英雄ではありません。女の子とゲームが好きな高校生です。
"It's not a question of can or can't. Some things in life, you just do.",できるかできないかの問題ではありません。人生には、ただやるだけのこともあります。
"The world is not beautiful, therefore it is.",世界は美しくない、だから美しいのだ。
I don't want to conquer anything. I just think that the guy with the most freedom in this ocean is the Pirate King!,何も征服したくない。この海で一番自由な奴が海賊王だと思うよ！
I won't give up... not until I win!,私は諦めません…勝つまでは！
People die if they are killed.,人は殺されれば死ぬ。
The only way to truly escape the mundane is for you to constantly evolve.,日常から真に脱出する唯一の方法は、あなたが常に進化することです。
"There are no regrets. If one can be proud of one's life, one should not wish for another chance.",後悔はありません。自分の人生に誇りを持てるなら、次のチャンスを望む必要はない。
"You can't always hold on to the things that are important. By letting them go, we gain something else.",大切なものを常に持ち続けることはできません。それらを手放すことで、私たちは何か他のものを得ることができます。
"A lesson without pain is meaningless. That's because no one can gain without sacrificing something. But by enduring that pain and overcoming it, he shall obtain a powerful, unmatched heart.",痛みのないレッスンでは意味がありません。それは、何かを犠牲にしなければ誰も得をすることはできないからです。しかし、その痛みに耐え、乗り越えることで、人は比類のない強い心を手に入れることになる。
"If you have time to think of a beautiful end, then why not live beautifully until the end?",美しい最期を考える暇があるなら、最後まで美しく生きてみませんか？
It's just pathetic to give up on something before you even give it a shot.,挑戦する前に何かを諦めるのは情けないことです。
"When you give up, that's when the game is over.",諦めたらそこで試合終了です。
"The world isn't perfect. But it's there for us, doing the best it can. That's what makes it so damn beautiful.",世界は完璧ではありません。しかし、それは私たちのためにあり、最善を尽くしています。それがとても美しいのです。
"Whatever you do, enjoy it to the fullest. That is the secret of life.",何をするにしても、最大限に楽しんでください。それが人生の秘密です。
"In order to protect someone, you'll have to do something even more horrifying.",誰かを守るためには、もっと恐ろしいことをしなければならない。
I'll keep moving forward until I can no longer move.,動けなくなるまで前に進み続けます。
"If you don't like your destiny, don't accept it. Instead, have the courage to change it the way you want it to be.",自分の運命が気に入らないなら、それを受け入れないでください。代わりに、自分が望むように変える勇気を持ってください。
"If you're gonna insist on gambling and then complain when you lose, you had better work on your game.",ギャンブルに固執し、負けたときに文句を言うつもりなら、ゲームに取り組んだほうがよいでしょう。
"Fear is not evil. It tells you what your weakness is. And once you know your weakness, you can become stronger.",恐怖は悪ではありません。それはあなたの弱点が何かを教えてくれます。そして、自分の弱さを知れば、強くなれるのです。
We're all mad here.,ここでは皆気が狂っている。
The only ones who should kill are those who are prepared to be killed!,殺すべきなのは、殺される覚悟のある者だけだ！
"People die when they are killed, but that doesn't mean we have to accept it!",人は殺されれば死にますが、だからといってそれを受け入れなければならないわけではありません。
"It doesn't matter if we're wrong, because every time we go wrong, we learn something new.",私たちが間違っているかどうかは問題ではありません。なぜなら、間違いを犯すたびに、私たちは何か新しいことを学ぶからです。
"Power comes in response to a need, not a desire.",力は欲望ではなく、必要性に応じて生まれます。
